Total registros en cca_predio: 9000
Registros con id_operacion duplicado: 1629

Lista de id_operacion duplicados con su cantidad:
id_operacion: 254360000000000020700000000000 - Cantidad: 5
id_operacion: 254360000000000020699000000000 - Cantidad: 5
id_operacion: 254360000000000020698000000000 - Cantidad: 5
id_operacion: 254360000000000020697000000000 - Cantidad: 5
id_operacion: 254360000000000020696000000000 - Cantidad: 5
id_operacion: 254360000000000020695000000000 - Cantidad: 5
id_operacion: 254360000000000020694000000000 - Cantidad: 5
id_operacion: 254360000000000020693000000000 - Cantidad: 5
id_operacion: 254360000000000020692000000000 - Cantidad: 5
id_operacion: 254360000000000020691000000000 - Cantidad: 5
id_operacion: 254360000000000020690000000000 - Cantidad: 5
id_operacion: 254360000000000020689000000000 - Cantidad: 5
id_operacion: 254360000000000020688000000000 - Cantidad: 5
id_operacion: 254360000000000020682000000000 - Cantidad: 5
id_operacion: 254360000000000020681000000000 - Cantidad: 5
id_operacion: 254360000000000020680000000000 - Cantidad: 5
id_operacion: 254360000000000020679000000000 - Cantidad: 5
id_operacion: 254360000000000020678000000000 - Cantidad: 5
id_operacion: 254360000000000020677000000000 - Cantidad: 5
id_operacion: 254360000000000020676000000000 - Cantidad: 5
id_operacion: 254360000000000020675000000000 - Cantidad: 5
id_operacion: 254360000000000020674000000000 - Cantidad: 5
id_operacion: 254360000000000020673000000000 - Cantidad: 5
id_operacion: 254360000000000020672000000000 - Cantidad: 5
id_operacion: 254360000000000020671000000000 - Cantidad: 5
id_operacion: 254360000000000020670000000000 - Cantidad: 5
id_operacion: 254360000000000020669000000000 - Cantidad: 5
id_operacion: 254360000000000020668000000000 - Cantidad: 5
id_operacion: 254360000000000020667000000000 - Cantidad: 5
id_operacion: 254360000000000020666000000000 - Cantidad: 5
id_operacion: 254360000000000020665000000000 - Cantidad: 5
id_operacion: 254360000000000020664000000000 - Cantidad: 5
id_operacion: 254360000000000020663000000000 - Cantidad: 5
id_operacion: 254360000000000020662000000000 - Cantidad: 5
id_operacion: 254360000000000020661000000000 - Cantidad: 5
id_operacion: 254360000000000020660000000000 - Cantidad: 5
id_operacion: 254360000000000020659000000000 - Cantidad: 5
id_operacion: 254360000000000020658000000000 - Cantidad: 5
id_operacion: 254360000000000020657000000000 - Cantidad: 5
id_operacion: 254360000000000020656000000000 - Cantidad: 5
id_operacion: 254360000000000020654000000000 - Cantidad: 5
id_operacion: 254360000000000020653000000000 - Cantidad: 5
id_operacion: 254360000000000020651000000000 - Cantidad: 5
id_operacion: 254360000000000020615000000000 - Cantidad: 5
id_operacion: 254360000000000020614000000000 - Cantidad: 5
id_operacion: 254360000000000020613000000000 - Cantidad: 5
id_operacion: 254360000000000020598000000000 - Cantidad: 5
id_operacion: 254360000000000020597000000000 - Cantidad: 5
id_operacion: 254360000000000020596000000000 - Cantidad: 5
